trading_day,avg_abs_price,avg_demand_error_mw,avg_excess_generation_mw
2026-03-02,68.13,4569.49,0.0
2026-03-03,73.24,4209.55,0.0
2026-03-04,76.45,4334.34,0.0
2026-03-05,77.2,4369.91,0.0
2026-03-06,74.71,4479.43,0.0
2026-03-07,64.12,4190.41,0.0
2026-03-08,59.1,3931.44,0.0
2026-03-09,80.94,4148.08,0.0
2026-03-10,74.54,4257.01,0.0
2026-03-11,39.04,4266.25,0.0
2026-03-12,40.91,3908.35,0.0
