trading_day,region_with_biggest_error,abs_error_mwh
2026-03-02,NSW1,166705.3558333333
2026-03-03,NSW1,196689.24416666664
2026-03-04,NSW1,200939.8291666667
2026-03-05,NSW1,207063.51166666657
2026-03-06,NSW1,208607.86083333334
2026-03-07,NSW1,194958.75416666665
2026-03-08,NSW1,171790.90416666662
2026-03-09,NSW1,182706.87083333326
2026-03-10,NSW1,183180.70249999998
2026-03-11,NSW1,185830.06833333347
2026-03-12,NSW1,46572.422499999986
