REGIONID,forecast_error_mw
NSW1,8643.69
NSW1,8631.06
NSW1,8611.51
NSW1,8592.71
NSW1,8730.93
NSW1,8680.37
NSW1,8654.71
NSW1,8727.73
NSW1,8691.95
NSW1,8681.87
NSW1,8683.16
NSW1,8629.29
NSW1,8627.1
NSW1,8592.99
NSW1,8570.65
NSW1,8604.3
NSW1,8571.29
NSW1,8488.22
NSW1,8506.23
NSW1,8483.59
NSW1,8467.22
NSW1,8469.38
NSW1,8504.6
NSW1,8429.51
NSW1,8318.9
NSW1,8250.93
NSW1,8231.93
NSW1,8150.81
NSW1,8117.57
NSW1,8255.28
NSW1,8296.46
NSW1,8342.63
NSW1,8320.62
NSW1,8196.01
NSW1,7984.55
NSW1,7867.22
NSW1,7976.49
NSW1,8107.71
NSW1,8043.49
NSW1,8053.64
NSW1,8119.62
NSW1,7934.41
NSW1,8020.28
NSW1,8000.35
NSW1,7901.15
NSW1,7924.01
NSW1,8001.74
NSW1,8061.79
NSW1,8069.06
NSW1,8146.57
NSW1,8040.84
NSW1,8040.78
NSW1,8079.97
NSW1,7994.9
NSW1,7987.98
NSW1,8041.14
NSW1,8114.12
NSW1,8049.9
NSW1,8121.18
NSW1,8149.86
NSW1,8205.05
NSW1,8261.32
NSW1,8229.73
NSW1,8225.77
NSW1,8052.04
NSW1,7951.0
NSW1,7943.46
NSW1,7926.92
NSW1,7829.36
NSW1,7698.66
NSW1,7732.7
NSW1,7593.79
NSW1,7700.93
NSW1,7704.89
NSW1,7698.24
NSW1,7769.53
NSW1,7850.35
NSW1,7834.79
NSW1,7820.0
NSW1,7732.59
NSW1,7740.55
NSW1,7719.54
NSW1,7846.15
NSW1,7857.12
NSW1,7979.01
NSW1,8007.7
NSW1,8095.48
NSW1,8219.08
NSW1,8161.93
NSW1,8012.39
NSW1,8010.55
NSW1,7922.14
NSW1,8009.57
NSW1,8071.77
NSW1,8048.51
NSW1,8151.49
NSW1,8188.02
NSW1,8231.36
NSW1,8285.44
NSW1,8301.6
NSW1,8420.3
NSW1,8561.14
NSW1,8547.59
NSW1,8642.93
NSW1,8636.55
NSW1,8730.09
NSW1,8762.78
NSW1,8752.9
NSW1,8811.07
NSW1,8895.62
NSW1,8978.79
NSW1,9006.21
NSW1,8926.26
NSW1,8987.29
NSW1,8940.7
NSW1,8979.29
NSW1,9127.29
NSW1,9185.85
NSW1,9319.97
NSW1,9271.31
NSW1,9293.63
NSW1,9285.43
NSW1,9365.82
NSW1,9476.66
NSW1,9545.13
NSW1,9553.17
NSW1,9529.67
NSW1,9437.63
NSW1,9427.79
NSW1,9551.73
NSW1,9581.56
NSW1,9607.57
NSW1,9573.28
NSW1,9490.8
NSW1,9594.92
NSW1,9547.81
NSW1,9663.01
NSW1,9626.04
NSW1,9715.12
NSW1,9624.02
NSW1,9672.62
NSW1,9742.94
NSW1,9693.43
NSW1,9701.64
NSW1,9575.39
NSW1,9556.54
NSW1,9417.54
NSW1,9535.25
NSW1,9503.79
NSW1,9570.47
NSW1,9527.98
NSW1,9485.44
NSW1,9522.15
NSW1,9465.89
NSW1,9427.0
NSW1,9352.92
NSW1,9380.67
NSW1,9346.11
NSW1,9291.6
NSW1,9220.92
NSW1,9226.87
NSW1,9182.66
NSW1,9145.68
NSW1,9163.4
NSW1,9103.2
NSW1,9070.4
NSW1,8957.02
NSW1,8981.55
NSW1,8969.36
NSW1,8968.09
NSW1,8867.52
NSW1,8849.32
NSW1,8763.37
NSW1,8733.2
NSW1,8675.59
NSW1,8623.91
NSW1,8580.58
NSW1,8654.9
NSW1,8618.98
NSW1,8510.17
NSW1,8567.1
NSW1,8472.82
NSW1,8455.18
NSW1,8444.24
NSW1,8425.49
NSW1,8298.39
NSW1,8291.89
NSW1,8281.54
NSW1,8325.3
NSW1,8259.78
NSW1,8193.51
NSW1,8187.76
NSW1,8144.79
NSW1,8126.68
NSW1,8077.07
NSW1,7967.8
NSW1,7954.23
NSW1,7986.33
NSW1,7817.18
NSW1,7980.95
NSW1,7841.89
NSW1,7854.27
NSW1,7817.21
NSW1,7798.29
NSW1,7718.77
NSW1,7677.0
NSW1,7774.47
NSW1,7688.1
NSW1,7731.51
NSW1,7640.74
NSW1,7655.06
NSW1,7492.97
NSW1,7565.83
NSW1,7480.53
NSW1,7452.51
NSW1,7338.11
NSW1,7272.63
NSW1,7311.59
NSW1,7306.77
NSW1,7204.31
NSW1,7250.64
NSW1,7197.31
NSW1,7196.52
NSW1,7200.09
NSW1,7176.16
NSW1,7100.09
NSW1,7163.76
NSW1,7176.98
NSW1,7134.78
NSW1,7031.31
NSW1,6992.05
