SETTLEMENTDATE,DUID,FUEL_TYPE,scada_mw
2026-03-12 14:55:00,STOCKYD1,Wind,357.72
2026-03-12 14:55:00,WDGPH1,Solar,384.867
2026-03-12 15:00:00,BW03,Black coal,448.33447
2026-03-12 15:00:00,BW04,Black coal,468.79376
2026-03-12 15:00:00,CPP_3,Black coal,419.92501999999996
2026-03-12 15:00:00,ER01,Black coal,303.16626
2026-03-12 15:00:00,ER02,Black coal,318.69382
2026-03-12 15:00:00,ER03,Black coal,315.08051
2026-03-12 15:00:00,ER04,Black coal,308.14679
2026-03-12 15:00:00,KPP_1,Black coal,317.58154
2026-03-12 15:00:00,STOCKYD1,Wind,354.01001
2026-03-12 15:00:00,WDGPH1,Solar,383.38501
2026-03-12 15:05:00,BW03,Black coal,450.3852800000001
2026-03-12 15:05:00,BW04,Black coal,469.67269999999996
2026-03-12 15:05:00,CPP_3,Black coal,420.75
2026-03-12 15:05:00,ER01,Black coal,323.72321
2026-03-12 15:05:00,ER02,Black coal,343.6698
2026-03-12 15:05:00,ER03,Black coal,339.17755
2026-03-12 15:05:00,ER04,Black coal,330.09537
2026-03-12 15:05:00,KPP_1,Black coal,322.43246
2026-03-12 15:05:00,STOCKYD1,Wind,340.70999
2026-03-12 15:05:00,WDGPH1,Solar,382.39801
2026-03-12 15:10:00,BW03,Black coal,441.57169
2026-03-12 15:10:00,BW04,Black coal,478.26657
2026-03-12 15:10:00,CPP_3,Black coal,420.75
2026-03-12 15:10:00,ER01,Black coal,346.52628
2026-03-12 15:10:00,ER02,Black coal,367.20532
2026-03-12 15:10:00,ER03,Black coal,362.39566
2026-03-12 15:10:00,ER04,Black coal,350.457
2026-03-12 15:10:00,KPP_1,Black coal,325.50418
2026-03-12 15:10:00,STOCKYD1,Wind,320.10999
2026-03-12 15:10:00,WDGPH1,Solar,382.67801
2026-03-12 15:15:00,BW03,Black coal,422.62607
2026-03-12 15:15:00,BW04,Black coal,470.47836
2026-03-12 15:15:00,CPP_3,Black coal,420.75
2026-03-12 15:15:00,ER01,Black coal,362.17593
2026-03-12 15:15:00,ER02,Black coal,365.22775
2026-03-12 15:15:00,ER03,Black coal,363.29901
2026-03-12 15:15:00,ER04,Black coal,363.49432
2026-03-12 15:15:00,KPP_1,Black coal,323.18781
2026-03-12 15:15:00,STOCKYD1,Wind,369.12
2026-03-12 15:15:00,WDGPH1,Solar,381.44202
2026-03-12 15:20:00,BW03,Black coal,408.73425
2026-03-12 15:20:00,BW04,Black coal,472.60242
2026-03-12 15:20:00,CPP_3,Black coal,424.32501
2026-03-12 15:20:00,ER01,Black coal,377.63028
2026-03-12 15:20:00,ER02,Black coal,385.4429
2026-03-12 15:20:00,ER03,Black coal,381.43893
2026-03-12 15:20:00,ER04,Black coal,378.31387
2026-03-12 15:20:00,KPP_1,Black coal,320.11612
2026-03-12 15:20:00,STOCKYD1,Wind,377.16
2026-03-12 15:20:00,WDGPH1,Solar,380.19601
2026-03-12 15:25:00,BW03,Black coal,393.23111
2026-03-12 15:25:00,BW04,Black coal,473.48135
2026-03-12 15:25:00,CPP_3,Black coal,421.57501
2026-03-12 15:25:00,ER01,Black coal,401.72733
2026-03-12 15:25:00,ER02,Black coal,409.41788
2026-03-12 15:25:00,ER03,Black coal,404.43732
2026-03-12 15:25:00,ER04,Black coal,400.82397
2026-03-12 15:25:00,KPP_1,Black coal,330.89221
2026-03-12 15:25:00,STOCKYD1,Wind,390.26999
2026-03-12 15:25:00,WDGPH1,Solar,379.91501
2026-03-12 15:30:00,BW03,Black coal,377.87442
2026-03-12 15:30:00,BW04,Black coal,474.48233
2026-03-12 15:30:00,CPP_3,Black coal,420.47501
2026-03-12 15:30:00,ER01,Black coal,422.69931
2026-03-12 15:30:00,ER02,Black coal,433.56375
2026-03-12 15:30:00,ER03,Black coal,426.60562
2026-03-12 15:30:00,ER04,Black coal,420.20905
2026-03-12 15:30:00,KPP_1,Black coal,353.23331
2026-03-12 15:30:00,STOCKYD1,Wind,393.78
2026-03-12 15:30:00,WDGPH1,Solar,378.93002
2026-03-12 15:35:00,BW03,Black coal,376.65369
2026-03-12 15:35:00,BW04,Black coal,471.28406000000007
2026-03-12 15:35:00,CPP_3,Black coal,421.57501
2026-03-12 15:35:00,ER01,Black coal,440.47302
2026-03-12 15:35:00,ER02,Black coal,455.95178
2026-03-12 15:35:00,ER03,Black coal,448.94482
2026-03-12 15:35:00,ER04,Black coal,440.08240000000006
2026-03-12 15:35:00,KPP_1,Black coal,372.15024
2026-03-12 15:35:00,STOCKYD1,Wind,393.14001
2026-03-12 15:35:00,WDGPH1,Solar,377.85703
2026-03-12 15:40:00,BW03,Black coal,372.99152
2026-03-12 15:40:00,BW04,Black coal,485.54208
