hour_start,REGIONID,avg_net_interchange_mw
2026-03-03 04:00:00,TAS1,-1.52
2026-03-03 04:00:00,VIC1,1080.53
2026-03-03 05:00:00,NSW1,-857.17
2026-03-03 05:00:00,QLD1,846.35
2026-03-03 05:00:00,SA1,-670.54
2026-03-03 05:00:00,TAS1,1.88
2026-03-03 05:00:00,VIC1,775.9
2026-03-03 06:00:00,NSW1,-971.12
2026-03-03 06:00:00,QLD1,976.77
2026-03-03 06:00:00,SA1,-646.57
2026-03-03 06:00:00,TAS1,23.87
2026-03-03 06:00:00,VIC1,719.01
2026-03-03 07:00:00,NSW1,-1012.69
2026-03-03 07:00:00,QLD1,1110.74
2026-03-03 07:00:00,SA1,-659.56
2026-03-03 07:00:00,TAS1,26.9
2026-03-03 07:00:00,VIC1,655.35
2026-03-03 08:00:00,NSW1,-865.32
2026-03-03 08:00:00,QLD1,1024.1
2026-03-03 08:00:00,SA1,-625.94
2026-03-03 08:00:00,TAS1,1.82
2026-03-03 08:00:00,VIC1,565.79
2026-03-03 09:00:00,NSW1,-1358.92
2026-03-03 09:00:00,QLD1,929.85
2026-03-03 09:00:00,SA1,-279.03
2026-03-03 09:00:00,TAS1,-49.7
2026-03-03 09:00:00,VIC1,881.53
2026-03-03 10:00:00,NSW1,-1668.54
2026-03-03 10:00:00,QLD1,861.1
2026-03-03 10:00:00,SA1,120.44
2026-03-03 10:00:00,TAS1,-124.78
2026-03-03 10:00:00,VIC1,1061.22
2026-03-03 11:00:00,NSW1,-1750.45
2026-03-03 11:00:00,QLD1,952.72
2026-03-03 11:00:00,SA1,216.04
2026-03-03 11:00:00,TAS1,-165.2
2026-03-03 11:00:00,VIC1,1059.7
2026-03-03 12:00:00,NSW1,-1626.74
2026-03-03 12:00:00,QLD1,843.38
2026-03-03 12:00:00,SA1,327.32
2026-03-03 12:00:00,TAS1,-144.68
2026-03-03 12:00:00,VIC1,910.65
2026-03-03 13:00:00,NSW1,-1748.58
2026-03-03 13:00:00,QLD1,923.15
2026-03-03 13:00:00,SA1,344.13
2026-03-03 13:00:00,TAS1,-158.57
2026-03-03 13:00:00,VIC1,978.81
2026-03-03 14:00:00,NSW1,-1807.84
2026-03-03 14:00:00,QLD1,960.14
2026-03-03 14:00:00,SA1,293.04
2026-03-03 14:00:00,TAS1,-147.88
2026-03-03 14:00:00,VIC1,1043.32
2026-03-03 15:00:00,NSW1,-1819.02
2026-03-03 15:00:00,QLD1,996.43
2026-03-03 15:00:00,SA1,269.92
2026-03-03 15:00:00,TAS1,-112.67
2026-03-03 15:00:00,VIC1,985.24
2026-03-03 16:00:00,NSW1,-1723.38
2026-03-03 16:00:00,QLD1,802.03
2026-03-03 16:00:00,SA1,302.42
2026-03-03 16:00:00,TAS1,-117.91
2026-03-03 16:00:00,VIC1,1013.3
2026-03-03 17:00:00,NSW1,-1204.59
2026-03-03 17:00:00,QLD1,294.03
2026-03-03 17:00:00,SA1,224.06
2026-03-03 17:00:00,TAS1,-17.86
