SETTLEMENTDATE,INTERCONNECTORID,flow_mw,export_limit_mw,import_limit_mw
2026-03-12 14:40:00,T-V-MNSP1,-79.27,-79.27,-266.5
2026-03-12 14:40:00,V-S-MNSP1,137.36,137.36,137.36
2026-03-12 14:40:00,V-SA,303.58,303.58,303.58
2026-03-12 14:40:00,VIC1-NSW1,-496.12,-496.12,-1072.61
2026-03-12 14:35:00,T-V-MNSP1,-89.68,-89.68,-287.3
2026-03-12 14:35:00,V-S-MNSP1,140.29,140.29,140.29
2026-03-12 14:35:00,V-SA,307.97,307.97,307.97
2026-03-12 14:35:00,VIC1-NSW1,-339.75,-339.75,-1024.18
2026-03-12 14:30:00,T-V-MNSP1,-135.1,-135.1,-309.2
2026-03-12 14:30:00,V-S-MNSP1,143.15,143.15,143.15
2026-03-12 14:30:00,V-SA,331.37,331.37,331.37
2026-03-12 14:30:00,VIC1-NSW1,-487.86,-487.86,-1131.92
2026-03-12 14:25:00,T-V-MNSP1,-104.56,-104.56,-295.8
2026-03-12 14:25:00,V-S-MNSP1,137.36,137.36,137.36
2026-03-12 14:25:00,V-SA,319.12,319.12,319.12
2026-03-12 14:25:00,VIC1-NSW1,-501.3,-501.3,-1065.41
2026-03-12 14:20:00,N-Q-MNSP1,-25.7,-25.7,-164.5
2026-03-12 14:20:00,T-V-MNSP1,-88.69,-88.69,-283.6
2026-03-12 14:20:00,V-S-MNSP1,136.13,136.13,136.13
2026-03-12 14:20:00,V-SA,314.34,314.34,314.34
2026-03-12 14:20:00,VIC1-NSW1,-485.0,-485.0,-1070.46
2026-03-12 14:15:00,V-S-MNSP1,135.13,135.13,135.13
2026-03-12 14:15:00,V-SA,332.81,332.81,332.81
2026-03-12 14:15:00,VIC1-NSW1,-520.04,-520.04,-1079.67
2026-03-12 14:10:00,V-S-MNSP1,134.83,134.83,134.83
2026-03-12 14:10:00,V-SA,345.55,345.55,345.55
2026-03-12 14:10:00,VIC1-NSW1,-561.27,-561.27,-1055.1
