INTERVAL_DATETIME,REGIONID,forecast_rrp,actual_rrp,error_rrp
2026-03-12 15:45:00,QLD1,53.73,58.34,-4.61
2026-03-12 15:45:00,SA1,-4.0,-15.46,11.46
2026-03-12 15:45:00,TAS1,38.59,61.65,-23.06
2026-03-12 15:45:00,VIC1,-35.96,-13.4,-22.56
2026-03-12 15:50:00,NSW1,52.98,57.06,-4.08
2026-03-12 15:50:00,QLD1,52.75,57.16,-4.41
2026-03-12 15:50:00,SA1,-1.1,-8.5,7.4
2026-03-12 15:50:00,TAS1,40.93,64.42,-23.49
2026-03-12 15:50:00,VIC1,-33.47,-10.57,-22.9
2026-03-12 15:55:00,NSW1,56.98,57.06,-0.08
2026-03-12 15:55:00,QLD1,56.86,57.29,-0.43
2026-03-12 15:55:00,SA1,-1.1,-15.46,14.36
2026-03-12 15:55:00,TAS1,50.52,67.74,-17.22
2026-03-12 15:55:00,VIC1,-24.45,-7.25,-17.2
2026-03-12 16:00:00,NSW1,57.06,76.08,-19.02
2026-03-12 16:00:00,QLD1,58.11,77.95,-19.84
2026-03-12 16:00:00,SA1,-4.0,-15.46,11.46
2026-03-12 16:00:00,TAS1,60.84,68.49,-7.65
2026-03-12 16:00:00,VIC1,-14.1,-6.5,-7.6
2026-03-12 16:05:00,NSW1,0.51,40.54,-40.03
2026-03-12 16:05:00,QLD1,0.54,42.86,-42.33
2026-03-12 16:05:00,SA1,-4.0,-15.46,11.46
2026-03-12 16:05:00,TAS1,49.54,49.54,0.0
2026-03-12 16:05:00,VIC1,-19.99,-6.5,-13.49
2026-03-12 16:10:00,NSW1,0.51,33.43,-32.92
2026-03-12 16:10:00,QLD1,0.54,34.75,-34.21
2026-03-12 16:10:00,SA1,-4.0,-15.46,11.46
2026-03-12 16:10:00,TAS1,60.68,68.4,-7.72
2026-03-12 16:10:00,VIC1,-14.1,-6.5,-7.6
2026-03-12 16:15:00,NSW1,0.51,37.89,-37.38
2026-03-12 16:15:00,QLD1,0.53,38.99,-38.46
2026-03-12 16:15:00,SA1,-4.0,-19.85,15.85
