participant_id,REGIONID,duid_count
METPL,QLD1,2
METZSF,NSW1,1
MOKOANSF,VIC1,1
MOLONGOP,NSW1,1
MONDO,VIC1,3
MOORAWF,VIC1,2
MORANBAH,QLD1,1
MOREEAC,NSW1,1
MORTLSWF,VIC1,1
MOUSF,QLD1,1
MRYLINK1,SA1,1
MRYLINK1,VIC1,1
MTGELLWF,VIC1,1
MTMERCER,VIC1,1
MTMILLAR,SA1,1
MUGGALSP,NSW1,1
MUNCRKSF,QLD1,1
MUWARRA2,VIC1,1
MWARRA,VIC1,1
NARRABRI,NSW1,2
NEMRESTR,NSW1,7
NEMRESTR,QLD1,2
NEMRESTR,SA1,7
NEMRESTR,TAS1,2
NEMRESTR,VIC1,13
NESBESS,NSW1,2
NEWENGSF,NSW1,2
NEWGEN,QLD1,5
NEWGRWF,NSW1,3
NORPOWER,NSW1,1
NOVAPWR,VIC1,1
NPSAIL,SA1,1
NUMURKSF,VIC1,1
NVTSF,NSW1,1
OEBESS,NSW1,1
OEBESS,VIC1,1
OERARING,NSW1,6
ORABESS,NSW1,1
PACHYDIN,NSW1,1
PACHYDIN,VIC1,3
PACPOWER,NSW1,3
PAPMICRO,SA1,1
PBLUESGA,VIC1,1
PEAKCO,SA1,14
PIONEER,QLD1,1
PORTADL,SA1,1
PORTWF,VIC1,1
POWRSSGA,VIC1,1
PROGREEN,VIC1,4
PSF,NSW1,1
PWRSYNC,QLD1,1
PWRSYNC,VIC1,1
PYRENEES,VIC1,1
QGCSALE1,QLD1,1
QUORNPSF,NSW1,2
RANGBESS,VIC1,1
RATCHAC,QLD1,6
RATCHTOW,QLD1,2
REDBANK,NSW1,1
RESPONSE,NSW1,5
RESPONSE,SA1,3
RESPONSE,VIC1,2
RIVEBESS,NSW1,3
ROSSRVER,QLD1,1
RYAN,VIC1,1
RYEPARK,NSW1,1
SALTCRK,VIC1,1
SAPHWF1,NSW1,1
SAVPP1,NSW1,1
SAVPP1,SA1,2
SAVPP1,VIC1,1
SAWCML,SA1,32
SEBSF,NSW1,1
SECGEN,VIC1,1
SECURENG,QLD1,1
SECV,VIC1,5
SERDR,VIC1,1
SHELLNEW,QLD1,1
SHOAL,NSW1,1
SHUBMASP,NSW1,2
SHUBMASP,SA1,3
SITHE,NSW1,1
SLVRTN,NSW1,1
SMCTSV,QLD1,1
SMTHBESS,NSW1,1
SNODE1,QLD1,2
SNOWNTH,SA1,1
SNOWSTH,SA1,1
SNOWTOWN,SA1,1
SNOWY,NSW1,36
SNOWY,SA1,7
SNOWY,SNOWY1,6
SNOWY,VIC1,29
SOLARIS,NSW1,1
SOLARIS,VIC1,4
SONNMASP,NSW1,1
SONNMASP,SA1,1
SOUTHHYD,NSW1,8
SOUTHHYD,QLD1,1
SOUTHHYD,VIC1,14
SOUTHYD2,VIC1,2
SRSF1,QLD1,1
STANCCWF,QLD1,2
STANRET,QLD1,1
STANWAM1,QLD1,1
STANWELL,QLD1,15
STARFISH,SA1,1
STOCKYRD,VIC1,1
STUBB1SF,NSW1,2
SUCROGEN,QLD1,1
SUNRSF,NSW1,1
SUNSPOT3,VIC1,1
SUNTOP,NSW1,1
TAILEM,SA1,4
TALL,NSW1,2
TARALGA,NSW1,1
TASIRRIG,TAS1,1
TBLANDGP,QLD1,1
TBSOL,SA1,1
TELSTRAE,QLD1,1
TIPSCO,SA1,18
TLTSFS,NSW1,2
TOORAWF,VIC1,1
TRANSGBH,NSW1,2
TRANSGP,NSW1,1
TRGBESS,VIC1,1
TRUDW,NSW1,6
TULLYSL,QLD1,1
ULPBESS1,QLD1,1
UNIQLDSF,QLD1,2
VBBHMCA3,VIC1,3
VESTTGEN,QLD1,1
VIOTAS,NSW1,1
VIOTAS,QLD1,1
VIOTAS,SA1,2
VIOTAS,TAS1,1
VIOTAS,VIC1,1
WAGGAOPS,NSW1,1
WALGBESS,NSW1,3
WANDOAN,QLD1,1
WATERLWF,SA1,1
WDOWBESS,QLD1,4
WDOWNS,QLD1,1
WELLNTH,NSW1,1
WEMENSF,VIC1,1
WGWF,SA1,1
WHECKSON,QLD1,1
WHILL1,QLD1,1
WILDCATL,TAS1,1
WINTONSF,VIC1,1
WLWLSF1,NSW1,1
WLWLSF2,NSW1,1
WOLLARSF,NSW1,1
WONTHGWF,VIC1,1
WOODLAWN,NSW1,1
WOOLOOGA,QLD1,1
WROCKWF,NSW1,2
WSUNDAY,QLD1,1
WTAHBESS,NSW1,1
WYALONG,NSW1,1
WYASF,NSW1,1
XELIO,QLD1,1
YALLOURN,VIC1,5
YALSTHWF,VIC1,1
YARRANSF,QLD1,1
YARWUN,QLD1,1
YATSF,VIC1,1
YESSA,NSW1,1
YESSA,SA1,4
YESSA,VIC1,3
ZENENGEN,SA1,1
